run_id,key,value,step,timestamp
286cec5d35574eb7ab5141897dd88424,Prime Max,0.8175045251846313,11,11
286cec5d35574eb7ab5141897dd88424,Prime Max,0.7497989535331726,12,12
286cec5d35574eb7ab5141897dd88424,Prime Max,0.6866812705993652,13,13
286cec5d35574eb7ab5141897dd88424,Prime Max,0.6347246766090393,14,14
286cec5d35574eb7ab5141897dd88424,Prime Max,0.5897234082221985,15,15
286cec5d35574eb7ab5141897dd88424,Prime Max,0.5760775208473206,16,16
286cec5d35574eb7ab5141897dd88424,Prime Max,0.5775557160377502,17,17
286cec5d35574eb7ab5141897dd88424,Prime Max,0.5789870619773865,18,18
286cec5d35574eb7ab5141897dd88424,Prime Max,0.6379849910736084,19,19
286cec5d35574eb7ab5141897dd88424,Prime Max,0.6510251760482788,20,20
286cec5d35574eb7ab5141897dd88424,Prime Max,0.7290011644363403,21,21
286cec5d35574eb7ab5141897dd88424,Prime Max,0.6691229939460754,22,22
286cec5d35574eb7ab5141897dd88424,Prime Max,0.7424852848052979,23,23
286cec5d35574eb7ab5141897dd88424,Prime Max,0.8822208046913147,24,24
286cec5d35574eb7ab5141897dd88424,Prime Max,1.0178431272506714,25,25
286cec5d35574eb7ab5141897dd88424,Prime Max,1.1522479057312012,26,26
286cec5d35574eb7ab5141897dd88424,Prime Max,1.2617734670639038,27,27
286cec5d35574eb7ab5141897dd88424,Prime Max,1.334049105644226,28,28
286cec5d35574eb7ab5141897dd88424,Prime Max,1.3866099119186401,29,29
286cec5d35574eb7ab5141897dd88424,Prime Max,1.4467869997024536,30,30
286cec5d35574eb7ab5141897dd88424,Prime Max,1.4667272567749023,31,31
286cec5d35574eb7ab5141897dd88424,Prime Max,1.5381054878234863,32,32
286cec5d35574eb7ab5141897dd88424,Prime Max,1.6180552244186401,33,33
286cec5d35574eb7ab5141897dd88424,Prime Max,1.6342389583587646,34,34
286cec5d35574eb7ab5141897dd88424,Prime Max,1.6131001710891724,35,35
286cec5d35574eb7ab5141897dd88424,Prime Max,1.643250823020935,36,36
286cec5d35574eb7ab5141897dd88424,Prime Max,1.571932315826416,37,37
286cec5d35574eb7ab5141897dd88424,Prime Max,1.5503623485565186,38,38
286cec5d35574eb7ab5141897dd88424,Prime Max,1.6206066608428955,39,39
